	SRR7217923	SRR7217925	SRR7217927	SRR7217929
ybhA	20	9	12	16
pgl	92	73	127	150
ybhD	0	1	1	2
ybhH	0	0	0	0
ybhI	0	0	0	0
ybhJ	6	4	4	6
ybhC	64	70	36	35
ybhB	18	28	22	23
bioA	39	33	13	10
bioB	27	15	4	11
bioF	30	13	11	8
bioC	5	9	1	1
bioD	4	5	7	6
uvrB	102	93	98	125
ybhK	28	16	18	13
moaA	78	68	91	60
moaB	32	30	30	64
moaC	13	16	14	27
moaD	1	0	1	1
moaE	9	4	12	16
ybhL	90	79	177	159
ybhM	0	1	1	1
ybhN	1	1	0	1
clsB	4	3	2	3
ybhP	3	0	2	2
ybhQ	29	28	47	61
ybhR	24	15	43	40
ybhS	28	30	49	54
ybhF	143	130	281	305
ybhG	71	79	175	222
cecR	14	18	35	55
rhlE	180	185	108	82
ybiA	14	10	32	30
dinG	91	82	112	104
ybiB	88	67	99	123
hcxB	33	30	37	37
ybiJ	0	0	1	0
ybiI	0	0	0	1
ybiX	15	14	2	4
fiu	148	109	1	6
mcbA	0	0	0	1
rlmF	30	30	23	11
ybiO	7	7	3	7
glnQ	47	42	35	37
glnP	56	39	31	32
glnH	167	85	135	123
dps	164	124	236	296
rhtA	11	17	8	9
yliM	0	0	0	0
ompX	567	571	370	451
opgE	21	19	6	4
rybA	3	4	5	6.5
mntS	0	0	0	0.5
mntR	9	5	6	11
ybiR	12	9	11	7
ldtB	112	87	58	50
ybiT	190	172	104	93
ybiU	8	5	1	4
ybiV	14	12	9	11
ybiW	13	3	16	17
ybiY	1	1	3	3
fsaA	5	6	15	11
moeB	18	20	23	28
moeA	48	57	68	92
iaaA	23	19	21	33
gsiA	25	40	48	69
gsiB	29	12	29	42
gsiC	5	8	12	10
gsiD	5	3	4	4
pdeI	3	3	5	3
dgcI	0	1	2	4
rimO	73	60	44	28
bssR	16	15	46	67
yliI	3	8	10	11
gstB	24	10	30	27
dacC	70	65	88	115
deoR	23	23	29	24
ybjG	14	12	2	3
